SKU,Product - English Name,Product - Chinese Name,Date of Sale,Amount Sold
A013,Mushroom Combo,菌类拼盘,2018/06/27,9
A013,Mushroom Combo,菌类拼盘,2018/06/28,10
A013,Mushroom Combo,菌类拼盘,2018/06/29,12
A013,Mushroom Combo,菌类拼盘,2018/06/30,14
A013,Mushroom Combo,菌类拼盘,2018/07/01,9
A013,Mushroom Combo,菌类拼盘,2018/07/02,8
A013,Mushroom Combo,菌类拼盘,2018/07/03,6
A013,Mushroom Combo,菌类拼盘,2018/07/04,5
A013,Mushroom Combo,菌类拼盘,2018/07/05,5
A013,Mushroom Combo,菌类拼盘,2018/07/06,11
A013,Mushroom Combo,菌类拼盘,2018/07/07,11
A013,Mushroom Combo,菌类拼盘,2018/07/08,10
A013,Mushroom Combo,菌类拼盘,2018/07/09,9
A013,Mushroom Combo,菌类拼盘,2018/07/10,5
A013,Mushroom Combo,菌类拼盘,2018/07/11,4
A013,Mushroom Combo,菌类拼盘,2018/07/12,12
A013,Mushroom Combo,菌类拼盘,2018/07/13,12
A013,Mushroom Combo,菌类拼盘,2018/07/14,12
A013,Mushroom Combo,菌类拼盘,2018/07/15,9
A013,Mushroom Combo,菌类拼盘,2018/07/16,6
A013,Mushroom Combo,菌类拼盘,2018/07/17,10
A013,Mushroom Combo,菌类拼盘,2018/07/18,4
A013,Mushroom Combo,菌类拼盘,2018/07/19,4
A013,Mushroom Combo,菌类拼盘,2018/07/20,10
A013,Mushroom Combo,菌类拼盘,2018/07/21,11
A013,Mushroom Combo,菌类拼盘,2018/07/22,5
A013,Mushroom Combo,菌类拼盘,2018/07/23,3
A013,Mushroom Combo,菌类拼盘,2018/07/24,4
A013,Mushroom Combo,菌类拼盘,2018/07/25,5
A013,Mushroom Combo,菌类拼盘,2018/07/26,8
A013,Mushroom Combo,菌类拼盘,2018/07/27,18
A013,Mushroom Combo,菌类拼盘,2018/07/28,13
A013,Mushroom Combo,菌类拼盘,2018/07/29,14
A013,Mushroom Combo,菌类拼盘,2018/07/30,6
A013,Mushroom Combo,菌类拼盘,2018/07/31,5
A013,Mushroom Combo,菌类拼盘,2018/08/01,6
A013,Mushroom Combo,菌类拼盘,2018/08/02,7
A013,Mushroom Combo,菌类拼盘,2018/08/03,12
A013,Mushroom Combo,菌类拼盘,2018/08/04,13
A013,Mushroom Combo,菌类拼盘,2018/08/05,13
A013,Mushroom Combo,菌类拼盘,2018/08/06,3
A013,Mushroom Combo,菌类拼盘,2018/08/08,15
A013,Mushroom Combo,菌类拼盘,2018/08/09,9
A013,Mushroom Combo,菌类拼盘,2018/08/10,10
A013,Mushroom Combo,菌类拼盘,2018/08/11,9
A013,Mushroom Combo,菌类拼盘,2018/08/12,4
A013,Mushroom Combo,菌类拼盘,2018/08/13,6
A013,Mushroom Combo,菌类拼盘,2018/08/14,3
A013,Mushroom Combo,菌类拼盘,2018/08/15,5
A013,Mushroom Combo,菌类拼盘,2018/08/16,6
A013,Mushroom Combo,菌类拼盘,2018/08/17,7
A013,Mushroom Combo,菌类拼盘,2018/08/18,8
A013,Mushroom Combo,菌类拼盘,2018/08/19,3
A013,Mushroom Combo,菌类拼盘,2018/08/20,5
A013,Mushroom Combo,菌类拼盘,2018/08/21,10
A013,Mushroom Combo,菌类拼盘,2018/08/22,11
A013,Mushroom Combo,菌类拼盘,2018/08/23,6
A013,Mushroom Combo,菌类拼盘,2018/08/24,10
A013,Mushroom Combo,菌类拼盘,2018/08/25,5
A013,Mushroom Combo,菌类拼盘,2018/08/26,6
A013,Mushroom Combo,菌类拼盘,2018/08/27,5
A013,Mushroom Combo,菌类拼盘,2018/08/28,4
A013,Mushroom Combo,菌类拼盘,2018/08/29,4
A013,Mushroom Combo,菌类拼盘,2018/08/30,6
A013,Mushroom Combo,菌类拼盘,2018/08/31,8
A013,Mushroom Combo,菌类拼盘,2018/09/01,12
A013,Mushroom Combo,菌类拼盘,2018/09/02,6
A013,Mushroom Combo,菌类拼盘,2018/09/03,5
A013,Mushroom Combo,菌类拼盘,2018/09/04,8
A013,Mushroom Combo,菌类拼盘,2018/09/05,3
A013,Mushroom Combo,菌类拼盘,2018/09/06,9
A013,Mushroom Combo,菌类拼盘,2018/09/07,4
A013,Mushroom Combo,菌类拼盘,2018/09/08,19
A013,Mushroom Combo,菌类拼盘,2018/09/09,7
A013,Mushroom Combo,菌类拼盘,2018/09/10,4
A013,Mushroom Combo,菌类拼盘,2018/09/11,9
A013,Mushroom Combo,菌类拼盘,2018/09/12,13
A013,Mushroom Combo,菌类拼盘,2018/09/13,6
A013,Mushroom Combo,菌类拼盘,2018/09/14,8
A013,Mushroom Combo,菌类拼盘,2018/09/15,10
A013,Mushroom Combo,菌类拼盘,2018/09/16,6
A013,Mushroom Combo,菌类拼盘,2018/09/17,1
A013,Mushroom Combo,菌类拼盘,2018/09/18,6
A013,Mushroom Combo,菌类拼盘,2018/09/19,5
A013,Mushroom Combo,菌类拼盘,2018/09/20,9
A013,Mushroom Combo,菌类拼盘,2018/09/21,12
A013,Mushroom Combo,菌类拼盘,2018/09/22,13
A013,Mushroom Combo,菌类拼盘,2018/09/23,10
A013,Mushroom Combo,菌类拼盘,2018/09/24,2
A013,Mushroom Combo,菌类拼盘,2018/09/25,3
A013,Mushroom Combo,菌类拼盘,2018/09/26,3
A013,Mushroom Combo,菌类拼盘,2018/09/27,5
A013,Mushroom Combo,菌类拼盘,2018/09/28,15
A013,Mushroom Combo,菌类拼盘,2018/09/29,9
A013,Mushroom Combo,菌类拼盘,2018/09/30,10
A013,Mushroom Combo,菌类拼盘,2018/10/01,2
A013,Mushroom Combo,菌类拼盘,2018/10/02,5
A013,Mushroom Combo,菌类拼盘,2018/10/03,6
A013,Mushroom Combo,菌类拼盘,2018/10/04,7
A013,Mushroom Combo,菌类拼盘,2018/10/05,12
A013,Mushroom Combo,菌类拼盘,2018/10/06,12
A013,Mushroom Combo,菌类拼盘,2018/10/07,5
A013,Mushroom Combo,菌类拼盘,2018/10/08,6
A013,Mushroom Combo,菌类拼盘,2018/10/09,3
A013,Mushroom Combo,菌类拼盘,2018/10/10,5
A013,Mushroom Combo,菌类拼盘,2018/10/11,6
A013,Mushroom Combo,菌类拼盘,2018/10/12,15
A013,Mushroom Combo,菌类拼盘,2018/10/13,11
A013,Mushroom Combo,菌类拼盘,2018/10/14,5
A013,Mushroom Combo,菌类拼盘,2018/10/15,2
A013,Mushroom Combo,菌类拼盘,2018/10/16,3
A013,Mushroom Combo,菌类拼盘,2018/10/17,5
A013,Mushroom Combo,菌类拼盘,2018/10/18,4
A013,Mushroom Combo,菌类拼盘,2018/10/19,10
A013,Mushroom Combo,菌类拼盘,2018/10/20,9
A013,Mushroom Combo,菌类拼盘,2018/10/21,4
A013,Mushroom Combo,菌类拼盘,2018/10/22,4
A013,Mushroom Combo,菌类拼盘,2018/10/23,5
A013,Mushroom Combo,菌类拼盘,2018/10/24,5
A013,Mushroom Combo,菌类拼盘,2018/10/25,7
A013,Mushroom Combo,菌类拼盘,2018/10/26,12
A013,Mushroom Combo,菌类拼盘,2018/10/27,7
A013,Mushroom Combo,菌类拼盘,2018/10/28,6
A013,Mushroom Combo,菌类拼盘,2018/10/29,4
A013,Mushroom Combo,菌类拼盘,2018/10/30,10
A013,Mushroom Combo,菌类拼盘,2018/10/31,13
A013,Mushroom Combo,菌类拼盘,2018/11/01,5
A013,Mushroom Combo,菌类拼盘,2018/11/02,11
A013,Mushroom Combo,菌类拼盘,2018/11/03,11
A013,Mushroom Combo,菌类拼盘,2018/11/04,13
A013,Mushroom Combo,菌类拼盘,2018/11/05,8
A013,Mushroom Combo,菌类拼盘,2018/11/06,9
A013,Mushroom Combo,菌类拼盘,2018/11/07,1
A013,Mushroom Combo,菌类拼盘,2018/11/08,4
A013,Mushroom Combo,菌类拼盘,2018/11/09,5
A013,Mushroom Combo,菌类拼盘,2018/11/10,3
A013,Mushroom Combo,菌类拼盘,2018/11/11,5
A013,Mushroom Combo,菌类拼盘,2018/11/12,4
A013,Mushroom Combo,菌类拼盘,2018/11/13,2
A013,Mushroom Combo,菌类拼盘,2018/11/14,2
A013,Mushroom Combo,菌类拼盘,2018/11/15,8
A013,Mushroom Combo,菌类拼盘,2018/11/16,11
A013,Mushroom Combo,菌类拼盘,2018/11/17,12
A013,Mushroom Combo,菌类拼盘,2018/11/18,4
A013,Mushroom Combo,菌类拼盘,2018/11/19,6
A013,Mushroom Combo,菌类拼盘,2018/11/20,6
A013,Mushroom Combo,菌类拼盘,2018/11/21,8
A013,Mushroom Combo,菌类拼盘,2018/11/22,4
A013,Mushroom Combo,菌类拼盘,2018/11/23,10
A013,Mushroom Combo,菌类拼盘,2018/11/24,9
A013,Mushroom Combo,菌类拼盘,2018/11/25,6
A013,Mushroom Combo,菌类拼盘,2018/11/26,3
A013,Mushroom Combo,菌类拼盘,2018/11/27,3
A013,Mushroom Combo,菌类拼盘,2018/11/28,3
A013,Mushroom Combo,菌类拼盘,2018/11/29,4
